1	27 20 29 17 
2	14 39 
3	42 15 
4	10 37 18 38 19 41 22 16 
5	21 23 31 34 43 
6	28 14 16 24 
7	9 36 27 
8	33 36 29 17 42 
9	7 38 18 36 27 
10	4 31 37 16 
11	16 
12	21 34 
13	30 34 40 
14	2 6 24 16 41 19 26 39 
15	3 42 34 
16	4 6 10 11 14 28 24 41 31 
17	1 8 29 42 
18	4 9 36 38 33 43 37 
19	4 14 41 38 44 35 
20	1 36 29 27 
21	5 12 34 23 
22	4 41 
23	5 21 31 34 
24	6 14 16 
25	33 43 
26	14 
27	1 7 9 20 36 
28	6 16 
29	1 8 17 20 36 
30	13 34 40 
31	5 10 16 23 34 37 43 
32	39 
33	8 18 25 36 43 
34	5 12 13 15 21 23 30 31 43 
35	19 
36	7 8 9 18 20 27 29 33 
37	4 10 18 31 43 
38	4 9 18 19 
39	2 14 32 
40	13 30 
41	4 14 16 19 22 
42	3 8 15 17 
43	5 18 25 31 33 34 37 
44	19 
